name,state,lat,lng,sector_label
A T Still University of Health Sciences,Missouri,40.193648,-92.589183,Private
Abilene Christian University,Texas,32.468943,-99.709797,Private
Abraham Baldwin Agricultural College,Georgia,31.481889,-83.528281,Public
Abraham Lincoln University,California,34.146294,-118.256726,For-Profit
Academy College,Minnesota,44.855722,-93.299809,For-Profit
Academy for Five Element Acupuncture,Florida,29.650075,-82.321994,Private
Academy for Jewish Religion-California,California,34.070281,-118.438495,Private
Academy of Art University,California,37.787943,-122.400578,For-Profit
Academy of Chinese Culture and Health Sciences,California,37.805972,-122.269839,Private
Academy of Vocal Arts,Pennsylvania,39.94796,-75.173735,Private
Acupuncture and Integrative Medicine College-Berkeley,California,37.862754,-122.267636,Private
Acupuncture and Massage College,Florida,25.686382,-80.364141,For-Profit
Adams State University,Colorado,37.473636,-105.879642,Public
Adelphi University,New York,40.721439,-73.653321,Private
Adler Graduate School,Minnesota,44.893479,-93.410236,Private
Adler University,Illinois,41.882414,-87.629156,Private
Adrian College,Michigan,41.898591,-84.061481,Private
AdventHealth University,Florida,28.576142,-81.367687,Private
Agnes Scott College,Georgia,33.769268,-84.295459,Private
AI Miami International University of Art and Design,Florida,25.790008,-80.18839,For-Profit
Air Force Institute of Technology-Graduate School of Engineering & Management,Ohio,39.782221,-84.082618,Public
Alabama A & M University,Alabama,34.783368,-86.568502,Public
Alabama College of Osteopathic Medicine,Alabama,31.206294,-85.340805,Private
Alabama State University,Alabama,32.364317,-86.295677,Public
Alaska Bible College,Alaska,61.598553,-149.111972,Private
Alaska Pacific University,Alaska,61.190968,-149.804168,Private
Albany College of Pharmacy and Health Sciences,New York,42.650371,-73.779063,Private
Albany Law School,New York,42.651818,-73.777495,Private
Albany Medical College,New York,42.65382,-73.777289,Private
Albany State University,Georgia,31.56928,-84.141825,Public
Albert Einstein College of Medicine,New York,40.852847,-73.846327,Private
Albertus Magnus College,Connecticut,41.332519,-72.923848,Private
Albion College,Michigan,42.245049,-84.745639,Private
Albright College,Pennsylvania,40.361351,-75.909742,Private
Alcorn State University,Mississippi,31.877216,-91.142854,Public
Alderson Broaddus University,West Virginia,39.158067,-80.047728,Private
Alfred University,New York,42.254476,-77.788106,Private
Alhambra Medical University,California,34.080181,-118.148684,For-Profit
Alice Lloyd College,Kentucky,37.335087,-82.875068,Private
Allegheny College,Pennsylvania,41.64869,-80.147168,Private
Allegheny Wesleyan College,Ohio,40.86722,-80.861232,Private
Allen College,Iowa,42.530084,-92.340148,Private
Allen University,South Carolina,34.010348,-81.020045,Private
Alliant International University-San Diego,California,32.897056,-117.094398,For-Profit
Alma College,Michigan,43.38004,-84.672053,Private
Alpena Community College,Michigan,45.081647,-83.445069,Public
Alvernia University,Pennsylvania,40.310028,-75.936754,Private
Alverno College,Wisconsin,42.982842,-87.965174,Private
Amberton University,Texas,32.859931,-96.65302,Private
Ambria College of Nursing,Illinois,42.075628,-88.2109,For-Profit
America Evangelical University,California,34.041239,-118.308661,Private
American Academy of Acupuncture and Oriental Medicine,Minnesota,45.015332,-93.18106,For-Profit
American Academy of Art,Illinois,41.87742,-87.624788,Private
American Baptist College,Tennessee,36.202623,-86.789912,Private
American Baptist Seminary of the West,California,37.865252,-122.256149,Private
American Business and Technology University,Missouri,39.779095,-94.819797,For-Profit
American College of Acupuncture and Oriental Med,Texas,29.735747,-95.524765,For-Profit
American College of Education,Indiana,39.76975,-86.160161,For-Profit
American College of Financial Services,Pennsylvania,40.101644,-75.394652,Private
American College of Healthcare Sciences,Oregon,45.486902,-122.675858,For-Profit
American College of the Building Arts,South Carolina,32.805094,-79.946888,Private
American Conservatory Theater,California,37.787343,-122.40475,Private
American Film Institute Conservatory,California,34.10767,-118.310018,Private
American Institute of Alternative Medicine,Ohio,40.102442,-82.988733,For-Profit
American InterContinental University,Arizona,33.278816,-111.804036,For-Profit
American InterContinental University-Atlanta,Georgia,33.938779,-84.354907,For-Profit
American InterContinental University-Houston,Texas,29.728216,-95.548302,For-Profit
American International College,Massachusetts,42.112346,-72.558338,Private
American Islamic College,Illinois,41.954969,-87.646898,Private
American Jewish University,California,34.128153,-118.471706,Private
American Musical and Dramatic Academy,New York,40.772275,-73.987549,Private
American National University,Virginia,37.299743,-80.023602,For-Profit
American National University-Lexington,Kentucky,38.026996,-84.421099,For-Profit
American Public University System,West Virginia,39.287826,-77.860121,For-Profit
American Samoa Community College,American Samoa,-14.322636,-170.742774,Public
American Sentinel University,Colorado,39.67661,-104.831161,For-Profit
American University,District of Columbia,38.936005,-77.088875,Private
American University of Health Sciences,California,33.796849,-118.171366,For-Profit
American University of Puerto Rico,Puerto Rico,18.407058,-66.186631,Private
American University of Puerto Rico,Puerto Rico,18.434072,-66.478655,Private
AmeriTech College-Draper,Utah,40.527932,-111.892792,For-Profit
Amherst College,Massachusetts,42.372459,-72.518493,Private
Amridge University,Alabama,32.362609,-86.17401,Private
Anabaptist Mennonite Biblical Seminary,Indiana,41.656013,-85.972165,Private
Anderson University,Indiana,40.112768,-85.664315,Private
Anderson University,South Carolina,34.5152,-82.640358,Private
Andover Newton Theological School,Massachusetts,41.323386,-72.92138,Private
Andrew College,Georgia,31.772321,-84.795021,Private
